name,postal,full_address,category,phone,designation_date,capacity,geocode_query,geocode_status,lat,lng,matched_title,n_candidates
KIDS*FIRST,700-0817,岡山県岡山市北区弓之町15番32号,tsusho,086-232-8700,H30.7.1,10,岡山県岡山市北区弓之町15-32,matched,34.670452,133.930145,岡山県岡山市北区弓之町１５番３２号,1
トムソーヤ十日市教室,700-0856,岡山県岡山市北区十日市西町6-8,tsusho,070-3189-1577,H30.7.1,10,岡山県岡山市北区十日市西町6-8,matched,34.636635,133.923874,岡山県岡山市北区十日市西町６番８号,1
児童多機能型事業所 プラス・スタイル,700-0026,岡山県岡山市北区奉還町４丁目3-10,tsusho,086-259-4670,H30.11.1,10,岡山県岡山市北区奉還町4丁目3-10,matched,34.667942,133.908356,岡山県岡山市北区奉還町四丁目３番１０号,1
すたさぽ,700-0811,岡山県岡山市北区番町１丁目１４－３４,tsusho,086-232-8808,H31.1.1,10,岡山県岡山市北区-町1丁目14-34,matched,34.655186,133.919754,岡山県岡山市北区,1
アクティブスペースみらい辰巳店,700-0976,岡山県岡山市北区辰巳２－１０４,tsusho,086-245-2626,H31.2.1,10,岡山県岡山市北区辰巳2-104,matched,34.640682,133.890991,岡山県岡山市北区辰巳２番地,1
でいさーびす あいりんご3,701-0164,岡山県岡山市北区撫川３５３番地２,tsusho,086-362-7192,H31.4.1,10,岡山県岡山市北区撫川353-2,matched,34.641773,133.844437,岡山県岡山市北区撫川３５３番地,1
児童発達支援事業所ドルフィン庭瀬,701-0151,岡山県岡山市北区平野７１６番地２ 平野木下ビル2階,tsusho,086-259-2235,R1.5.1,10,岡山県岡山市北区平野716-2平野木下ビル2階,matched,34.646992,133.861252,岡山県岡山市北区平野７１６番地,1
パステル御南事業所,701-0145,岡山県岡山市北区今保２４０－６,tsusho,086-230-6767,R1.5.1,10,岡山県岡山市北区今保240-6,matched,34.637753,133.873337,岡山県岡山市北区今保,1
HAPPY SMILE 2nd,701-0164,岡山県岡山市北区撫川１１８７－１６,tsusho,086-250-4220,R1.6.1,10,岡山県岡山市北区撫川1187-16,matched,34.641342,133.842163,岡山県岡山市北区撫川１１８７番地,1
GLAD,700-0811,岡山県岡山市北区番町２丁目６－１ 番町アパート2階,tsusho,086-230-1296,R2.1.1,10,岡山県岡山市北区-町2丁目6-1-町アパート2階,matched,34.655186,133.919754,岡山県岡山市北区,1
トムソーヤ大元教室,700-0972,岡山県岡山市北区上中野２－４－５,tsusho,086-250-1638,R2.3.1,10,岡山県岡山市北区上中野2-4-5,matched,34.642643,133.902557,岡山県岡山市北区上中野二丁目４番５号,1
こども発達支援センターばんばんLab.,700-0951,岡山県岡山市北区田中182-106,tsusho,086-728-5608,R2.4.1,10,岡山県岡山市北区田中182-106,matched,34.642582,133.87619,岡山県岡山市北区田中１８２番地,1
てらぴぁぽけっと岡山中仙道教室,700-0951,岡山県岡山市北区田中124-107,tsusho,086-259-2127,R2.5.1,10,岡山県岡山市北区田中124-107,matched,34.644386,133.878876,岡山県岡山市北区田中１２４番地,1
まなてぃ,700-0866,岡山県岡山市北区岡南町2丁目1番5号 3階,tsusho,086-226-4000,R3.1.1,10,岡山県岡山市北区岡南町2丁目1-53階,matched,34.643539,133.92514,岡山県岡山市北区岡南町二丁目１番,1
すくすく塾 大元,700-0924,岡山県岡山市北区大元2丁目1-18,tsusho,086-250-1463,R3.2.1,10,岡山県岡山市北区大元2丁目1-18,matched,34.643707,133.903488,岡山県岡山市北区大元二丁目１番１８号,1
放課後等デイサービスcampus,700-0803,岡山県岡山市北区北方3-6-20 YSハイツ北方2階,tsusho,086-230-2277,R3.3.1,10,岡山県岡山市北区北方3-6-20YSハイツ北方2階,matched,34.689739,133.933197,岡山県岡山市北区北方三丁目６番２０号,1
あいぐらんアップ 大元教室,700-0986,岡山県岡山市北区新屋敷町3丁目5-21,tsusho,086-259-4640,R3.4.1,10,岡山県岡山市北区新屋敷町3丁目5-21,matched,34.652714,133.909286,岡山県岡山市北区新屋敷町三丁目５番２１号,1
こども発達LABO.Proリハ東古松,700-0921,岡山県岡山市北区東古松2-2-9うてんて103,tsusho,080-5751-3472,R3.4.1,10,岡山県岡山市北区東古松2-2-9うてんて103,matched,34.648418,133.915924,岡山県岡山市北区東古松二丁目２番９号,1
発達支援事業ハロウU,701-1351,岡山県岡山市北区門前395-6,tsusho,080-3874-0086,R3.4.1,10,岡山県岡山市北区門前395-6,matched,34.695629,133.807953,岡山県岡山市北区門前３９５番地,1
あいぐらんアップ 柳川筋教室,700-0826,岡山県岡山市北区磨屋町10－8,tsusho,086-230-0975,R3.4.1,10,岡山県岡山市北区磨屋町10-8,matched,34.663498,133.926041,岡山県岡山市北区磨屋町１０番８号,1
TOIROAD+岡山校,700-0816,岡山県岡山市北区富田町1-9-17富田町共同ビル101,tsusho,086-231-5050,R3.4.1,10,岡山県岡山市北区富田町1-9-17富田町共同ビル101,matched,34.669243,133.924164,岡山県岡山市北区富田町一丁目９番１７号,1
発達サポートスペース オット,701-0153,岡山県岡山市北区庭瀬498-2,tsusho,086-239-7739,R3.4.1,10,岡山県岡山市北区庭瀬498-2,matched,34.646488,133.846405,岡山県岡山市北区庭瀬４９８番地,1
多機能型事業所きら星,700-0013,岡山県岡山市北区伊福町一丁目14番11号,tsusho,086-214-2828,R3.5.1,20,岡山県岡山市北区伊福町一丁目14-11,matched,34.67086,133.914795,岡山県岡山市北区伊福町一丁目１４番１１号,1
ばんばんPlug.,700-0975,岡山県岡山市北区今8丁目14-13ベスグロビル2階B,tsusho,086-236-9337,R3.7.1,10,岡山県岡山市北区今8丁目14-13ベスグロビル2階B,matched,34.638721,133.892258,岡山県岡山市北区今八丁目１４番１３号,1
ネクスト晴る日,700-0064,岡山県岡山市北区大安寺南町一丁目4番13号,tsusho,086-898-2900,R4.2.1,10,岡山県岡山市北区大安寺南町一丁目4-13,matched,34.660892,133.8936,岡山県岡山市北区大安寺南町一丁目４番１３号,1
発達サポートスペース オットつしま,700-0081,岡山県岡山市北区津島東4-19-27,tsusho,086-259-1620,R4.3.1,10,岡山県岡山市北区津島東4-19-27,matched,34.69088,133.925552,岡山県岡山市北区津島東四丁目１９番２７号,1
おひさま岡山ドーム前事業所,700-0975,岡山県岡山市北区今1丁目10-32,tsusho,086-246-0808,R4.3.1,10,岡山県岡山市北区今1丁目10-32,matched,34.651402,133.893112,岡山県岡山市北区今一丁目１０番３２号,1
みのりの木,700-0951,岡山県岡山市北区田中613-2ラフォーレ弐番館101号室,tsusho,090-9966-4999,R4.5.1,10,岡山県岡山市北区田中613-2ラフォーレ弐-館101室,matched,34.637917,133.884872,岡山県岡山市北区田中６１３番地,1
きゃんでぃ,700-0952,岡山県岡山市北区平田110-113,tsusho,086-250-6056,R4.6.1,10,岡山県岡山市北区平田110-113,matched,34.636578,133.886963,岡山県岡山市北区平田１１０番地,1
こども発達LABO.Proリハ牟佐,701-2141,岡山県岡山市北区牟佐898-1,tsusho,086-238-6212,R4.6.1,10,岡山県岡山市北区牟佐898-1,matched,34.74926,133.966354,岡山県岡山市北区牟佐８９８番地,1
聖さくら学院 コメットアカデミー,700-0975,岡山県岡山市北区今3丁目16番地19号,tsusho,086-250-5557,R4.9.1,10,岡山県岡山市北区今3丁目16-19,matched,34.649574,133.893417,岡山県岡山市北区今三丁目１６番１９号,1
nico新屋敷,700-0986,岡山県岡山市北区新屋敷町2丁目8番23号新屋敷町2丁目事務所101号室,tsusho,086-259-2321,R4.9.1,10,岡山県岡山市北区新屋敷町2丁目8-23新屋敷町2丁目事務所101室,matched,34.655399,133.906647,岡山県岡山市北区新屋敷町二丁目８番２３号,1
YORUTOKO,700-0804,岡山県岡山市北区中井町2丁目4-8,tsusho,086-230-3547,R5.4.1,10,岡山県岡山市北区中井町2丁目4-8,matched,34.684361,133.93219,岡山県岡山市北区中井町二丁目４番８号,1
COMPASSアクセス,701-1335,岡山県岡山市北区高松131-15,tsusho,086-905-0228,R5.4.1,10,岡山県岡山市北区高松131-15,matched,34.685764,133.8228,岡山県岡山市北区高松１３１番地,1
放課後等デイサービスウィズ・ユー西古松,700-0927,岡山県岡山市北区西古松232-101コゼット西古松1階西テナント,tsusho,086-239-8261,R5.5.1,10,岡山県岡山市北区西古松232-101コゼット西古松1階西テナント,matched,34.643955,133.910461,岡山県岡山市北区西古松２３２番地,1
DOSUCOI,700-0046,岡山県岡山市北区岩井二丁目9番地17号,tsusho,080-2925-4198,R5.6.1,10,岡山県岡山市北区岩井二丁目9-17,matched,34.670654,133.894653,岡山県岡山市北区岩井二丁目９番１７号,1
パステル庭瀬事業所,701-0151,岡山県岡山市北区平野502番地1,tsusho,086-236-6868,R5.11.1,10,岡山県岡山市北区平野502-1,matched,34.644608,133.859085,岡山県岡山市北区平野５０２番地,1
ウエルはにーばん,700-0983,岡山県岡山市北区東島田町二丁目7番10号,tsusho,086-230-3100,R5.12.1,10,岡山県岡山市北区東島田町二丁目7-10,matched,34.658638,133.912689,岡山県岡山市北区東島田町二丁目７番１０号,1
発達サポートスペース オットいま,700-0975,岡山県岡山市北区今3丁目1-45,tsusho,086-236-6877,R5.12.1,10,岡山県岡山市北区今3丁目1-45,matched,34.650063,133.894516,岡山県岡山市北区今三丁目１番４５号,1
多機能型事業所あいりすけ,700-0804,岡山県岡山市北区中井町1丁目1-12,tsusho,086-230-1822,R5.12.1,10,岡山県岡山市北区中井町1丁目1-12,matched,34.68095,133.928406,岡山県岡山市北区中井町一丁目１番１２号,1
児童発達支援・放課後等デイサービスand,700-0971,岡山県岡山市北区野田1丁目14-30,tsusho,086-236-9025,R5.12.1,10,岡山県岡山市北区野田1丁目14-30,matched,34.654869,133.905106,岡山県岡山市北区野田一丁目１４番３０号,1
晴る日 西崎事業所,700-0055,岡山県岡山市北区西崎二丁目1番8号,tsusho,086-363-1333,R6.3.1,10,岡山県岡山市北区西崎二丁目1-8,matched,34.66272,133.895508,岡山県岡山市北区西崎二丁目１番８号,1
bon Jr.,700-0977,岡山県岡山市北区問屋町26-104問屋町タニモトビル2階,tsusho,086-250-1215,R6.4.1,10,岡山県岡山市北区問屋町26-104問屋町タニモトビル2階,matched,34.64476,133.887482,岡山県岡山市北区問屋町２６番,1
あそび王国 今事業所,700-0975,岡山県岡山市北区今2丁目18－15,tsusho,086-236-8036,R6.4.1,10,岡山県岡山市北区今2丁目18-15,matched,34.647923,133.895218,岡山県岡山市北区今二丁目１８番１５号,1
あかね,700-0867,岡山県岡山市北区岡町16－9,tsusho,086-280-5468,R6.4.1,10,岡山県岡山市北区岡町16-9,matched,34.648674,133.921982,岡山県岡山市北区岡町１６番９号,1
児童発達支援事業所POSTN,700-0016,岡山県岡山市北区伊島町1丁目9-42,tsusho,086-230-6342,R6.4.1,10,岡山県岡山市北区伊島町1丁目9-42,matched,34.677071,133.912766,岡山県岡山市北区伊島町一丁目９番４２号,1
ダブルレインボー,700-0051,岡山県岡山市北区下伊福上町16-7,tsusho,086-363-1130,R6.8.1,10,岡山県岡山市北区下伊福上町16-7,matched,34.668037,133.904312,岡山県岡山市北区下伊福上町１６番７号,1
にこまる,701-1211,岡山県岡山市北区一宮154-3,tsusho,086-284-8880,R6.11.1,10,岡山県岡山市北区一宮154-3,matched,34.676689,133.873932,岡山県岡山市北区一宮１５４番地,1
運動学習特化型児童発達支援・放課後等デイサービスアルペン清和大元上町教室,700-0925,岡山県岡山市北区大元上町11番17号,tsusho,086-250-3015,R7.1.1,10,岡山県岡山市北区大元上町11-17,matched,34.647614,133.899246,岡山県岡山市北区大元上町１１番１７号,1
YAMARIBA,709-2105,岡山県岡山市北区御津伊田2379,tsusho,080-7697-7112,R7.3.1,10,岡山県岡山市北区御津伊田2379,matched,34.800327,133.957718,岡山県岡山市北区御津伊田,1
多機能型事業所土田の里下中野,700-0973,岡山県岡山市北区下中野707-105,tsusho,086-239-1084,R7.4.1,10,岡山県岡山市北区下中野707-105,matched,34.639053,133.897385,岡山県岡山市北区下中野７０７番地,1
児童発達支援ゆめ,701-0143,岡山県岡山市北区白石547-1,tsusho,086-250-8280,R7.4.1,10,岡山県岡山市北区白石547-1,matched,34.650536,133.868927,岡山県岡山市北区白石５４７番地,1
マルベリー旭川荘,702-8002,岡山県岡山市中区桑野７１５－２,tsusho,086-274-5155,H24.4.1,10,岡山県岡山市中区桑野715-2,matched,34.617508,133.979797,岡山県岡山市中区桑野７１５番地,1
特定非営利活動法人土田の里,703-8217,岡山県岡山市中区土田９４３番地第２地,tsusho,086-279-5347,H24.4.1,10,岡山県岡山市中区土田943-第2地,matched,34.694164,133.983246,岡山県岡山市中区土田９４３番地,1
インクルすくうる,703-8283,岡山県岡山市中区赤坂南新町７－９,tsusho,086-272-0625,H24.4.1,10,岡山県岡山市中区赤坂南新町7-9,matched,34.645889,133.938705,岡山県岡山市中区赤坂南新町７番９号,1
あおぞら,703-8265,岡山県岡山市中区倉田２６４番地１３,tsusho,086-200-1212,H24.4.1,10,岡山県岡山市中区倉田264-13,matched,34.638428,133.964111,岡山県岡山市中区倉田２６４番地,1
おひさま 高島事業所,703-8241,岡山県岡山市中区国府市場1-6,tsusho,086-275-8588,H26.6.1,10,岡山県岡山市中区国府市場1-6,matched,34.692059,133.957672,岡山県岡山市中区国府市場１番地,1
モーネのデイ,703-8266,岡山県岡山市中区湊３７８－１,tsusho,086-274-4789,H27.4.1,10,岡山県岡山市中区湊378-1,matched,34.649204,133.960236,岡山県岡山市中区湊３７８番地,1
りゅうそう放課後ラボ,703-8228,岡山県岡山市中区乙多見101-6,tsusho,086-279-0970,H27.6.1,10,岡山県岡山市中区乙多見101-6,matched,34.677055,133.977905,岡山県岡山市中区乙多見１０１番地,1
ひまわり畑,702-8006,岡山県岡山市中区藤崎４４０番地,tsusho,086-274-1236,H27.8.1,10,岡山県岡山市中区藤崎440-,matched,34.620483,133.973465,岡山県岡山市中区藤崎４４０番地,1
土田の里チャイルドストライブ,703-8247,岡山県岡山市中区さい東町一丁目14番28号カネツグマンション1F,tsusho,086-897-2383,H27.9.1,10,岡山県岡山市中区さい東町一丁目14-28カネツグマンション1F,matched,34.679306,133.952606,岡山県岡山市中区さい東町一丁目１４番,1
いちごプラス,703-8282,岡山県岡山市中区平井四丁目15番12号,tsusho,086-276-8550,H28.4.1,10,岡山県岡山市中区平井四丁目15-12,matched,34.638412,133.946335,岡山県岡山市中区平井四丁目１５番１２号,1
リハスタイル ぐんぐん,703-8221,岡山県岡山市中区長岡25-3,tsusho,086-279-3306,H28.4.1,10,岡山県岡山市中区長岡25-3,matched,34.67923,133.983658,岡山県岡山市中区長岡２５番地,1
ウィルケアみよし,703-8261,岡山県岡山市中区海吉1441-1,tsusho,086-238-6360,H28.9.1,10,岡山県岡山市中区海吉1441-1,matched,34.660046,133.988998,岡山県岡山市中区海吉１４４１番地,1
こどもサポート教室きらり岡山高島校,703-8243,岡山県岡山市中区清水495-3,tsusho,086-206-6833,H28.11.1,10,岡山県岡山市中区清水495-3,matched,34.682777,133.962875,岡山県岡山市中区清水,1
晴れバレキッズ高島,703-8241,岡山県岡山市中区高島新屋敷510-4,tsusho,086-206-1221,H29.3.1,10,岡山県岡山市中区高島新屋敷510-4,matched,34.684715,133.956116,岡山県岡山市中区高島新屋敷５１０番地,1
りずむ畑,703-8265,岡山県岡山市中区倉田451番地3,tsusho,086-201-1369,H30.5.1,10,岡山県岡山市中区倉田451-3,matched,34.636578,133.960541,岡山県岡山市中区倉田,1
キッズハウスいちご アトリエ,703-8282,岡山県岡山市中区平井一丁目１－１３,tsusho,086-230-3317,H31.1.1,10,岡山県岡山市中区平井一丁目1-13,matched,34.642921,133.936325,岡山県岡山市中区平井一丁目１番１３号,1
とくのば,703-8235,岡山県岡山市中区原尾島３丁目９－１８原尾島コーポ1階・2階,tsusho,086-737-4093,R1.12.1,10,岡山県岡山市中区原尾島3丁目9-18原尾島コーポ1階・2階,matched,34.669918,133.947952,岡山県岡山市中区原尾島三丁目９番１８号,1
ウィルケアひらい,703-8266,岡山県岡山市中区湊１２０－４,tsusho,086-238-3820,R2.4.1,10,岡山県岡山市中区湊120-4,matched,34.637764,133.953278,岡山県岡山市中区湊１２０番地,1
でいさーびす あいりんご城,703-8271,岡山県岡山市中区円山216番地168,tsusho,086-201-0892,R2.6.1,10,岡山県岡山市中区円山216-168,matched,34.655231,133.958878,岡山県岡山市中区円山２１６番地,1
キッズハウスいちご しぜん,703-8282,岡山県岡山市中区平井6丁目17-27,tsusho,086-230-5910,R3.1.1,10,岡山県岡山市中区平井6丁目17-27,matched,34.635006,133.942322,岡山県岡山市中区平井六丁目１７番２７号,1
3BASE幡多スタジオ,703-8231,岡山県岡山市中区赤田14番地2,tsusho,086-206-4910,R3.12.1,10,岡山県岡山市中区赤田14-2,matched,34.678463,133.958908,岡山県岡山市中区赤田１４番地,1
おひさま八幡事業所,703-8241,岡山県岡山市中区高島新屋敷381-4,tsusho,086-206-2766,R4.4.1,10,岡山県岡山市中区高島新屋敷381-4,matched,34.686863,133.951874,岡山県岡山市中区高島新屋敷３８１番地,1
こどもサポート教室きらり岡山円山校,703-8271,岡山県岡山市中区円山70,tsusho,086-200-2501,R4.10.1,10,岡山県岡山市中区円山70,matched,34.654278,133.968719,岡山県岡山市中区円山７０番地,1
BLUE MOUSE,703-8291,岡山県岡山市中区徳吉町二丁目11番地25,tsusho,086-273-3880,R5.1.1,10,岡山県岡山市中区徳吉町二丁目11-25,matched,34.656788,133.941986,岡山県岡山市中区徳吉町二丁目１１番２５号,1
キッズハウスいちご こどもべや,703-8282,岡山県岡山市中区平井4丁目6-44,tsusho,086-230-0270,R5.10.1,10,岡山県岡山市中区平井4丁目6-44,matched,34.639786,133.945068,岡山県岡山市中区平井四丁目６番４４号,1
晴る日 円山事業所,703-8271,岡山県岡山市中区円山90番地9,tsusho,086-201-7098,R5.10.1,10,岡山県岡山市中区円山90-9,matched,34.657063,133.966599,岡山県岡山市中区円山,1
WAKU-WAKU pixie,703-8232,岡山県岡山市中区関461－12,tsusho,086-230-3122,R5.12.1,10,岡山県岡山市中区関461-12,matched,34.68058,133.96991,岡山県岡山市中区関４６１番地,1
多機能型事業所ひかり 操明,702-8006,岡山県岡山市中区藤崎709-5,tsusho,086-206-2571,R6.5.1,20,岡山県岡山市中区藤崎709-5,matched,34.615116,133.975967,岡山県岡山市中区藤崎７０９番地,1
こどもみらい光,703-8233,岡山県岡山市中区高屋480－5,tsusho,090-8609-3715,R6.5.1,10,岡山県岡山市中区高屋480-5,matched,34.677582,133.963654,岡山県岡山市中区高屋４８０番地,1
晴れバレキッズ今在家,703-8208,岡山県岡山市中区今在家11-10,tsusho,080-3055-0650,R6.12.1,10,岡山県岡山市中区今在家11-10,matched,34.690983,133.956116,岡山県岡山市中区今在家１１番地,1
晴る日 海吉事業所,703-8261,岡山県岡山市中区海吉1822番地1,tsusho,086-230-2188,R7.3.1,10,岡山県岡山市中区海吉1822-1,matched,34.658199,133.983093,岡山県岡山市中区海吉１８２２番地,1
キッズハウスいちごおしごと,703-8282,岡山県岡山市中区平井四丁目13番29号,tsusho,086-238-5188,R7.4.1,10,岡山県岡山市中区平井四丁目13-29,matched,34.637943,133.947052,岡山県岡山市中区平井四丁目１３番２９号,1
ウィルケアたかや,703-8233,岡山県岡山市中区高屋183-1,tsusho,086-238-6863,R7.4.1,10,岡山県岡山市中区高屋183-1,matched,34.676315,133.964478,岡山県岡山市中区高屋１８３番地,1
まんまるカチカチ,704-8175,岡山県岡山市東区益野町２１５,tsusho,086-238-2500,H24.4.1,10,岡山県岡山市東区益野町215,matched,34.654202,133.997574,岡山県岡山市東区益野町,1
よつばのクローバー西大寺,704-8193,岡山県岡山市東区金岡西町387番地3,tsusho,086-206-2931,H28.5.1,10,岡山県岡山市東区金岡西町387-3,matched,34.643776,134.026352,岡山県岡山市東区金岡西町３８７番地,1
さわやか愛の家さいだいじ館,704-8117,岡山県岡山市東区西大寺南2丁目10-17,tsusho,086-944-2200,H29.1.1,10,岡山県岡山市東区西大寺南2丁目10-17,matched,34.650669,134.032425,岡山県岡山市東区西大寺南二丁目１０番１７号,1
さわやか愛の家さいだいじ弐番館,704-8183,岡山県岡山市東区西大寺松崎447-69,tsusho,086-944-7077,H30.2.1,10,岡山県岡山市東区西大寺松崎447-69,matched,34.65992,134.017105,岡山県岡山市東区西大寺松崎４４７番地,1
AMKidsあみか,704-8191,岡山県岡山市東区西大寺中野483－4,tsusho,086-897-6270,H30.2.1,10,岡山県岡山市東区西大寺中野483-4,matched,34.654579,134.027206,岡山県岡山市東区西大寺中野４８３番地,1
夢門塾ゆうゆう西大寺,704-8191,岡山県岡山市東区西大寺中野5-1,tsusho,086-238-3392,H30.3.1,10,岡山県岡山市東区西大寺中野5-1,matched,34.649799,134.026947,岡山県岡山市東区西大寺中野５番地,1
でいさーびす あいりんご2,704-8194,岡山県岡山市東区金岡東町2丁目15番地28,tsusho,086-230-3610,H30.5.1,10,岡山県岡山市東区金岡東町2丁目15-28,matched,34.637077,134.02655,岡山県岡山市東区金岡東町二丁目１５番２８号,1
児童発達支援・放課後等デイサービスファーストペンギン,704-8191,岡山県岡山市東区西大寺中野881番地3,tsusho,086-942-0050,H30.6.1,10,岡山県岡山市東区西大寺中野881-3,matched,34.656689,134.024796,岡山県岡山市東区西大寺中野８８１番地,1
