name,postal,full_address,category,phone,designation_date,capacity
発達支援事業ハロウU,701-1351,岡山県岡山市北区門前395-6,tsusho,080-3874-0086,R3.4.1,10
あいぐらんアップ 柳川筋教室,700-0826,岡山県岡山市北区磨屋町10－8,tsusho,086-230-0975,R3.4.1,10
TOIROAD+岡山校,700-0816,岡山県岡山市北区富田町1-9-17富田町共同ビル101,tsusho,086-231-5050,R3.4.1,10
発達サポートスペース オット,701-0153,岡山県岡山市北区庭瀬498-2,tsusho,086-239-7739,R3.4.1,10
多機能型事業所きら星,700-0013,岡山県岡山市北区伊福町一丁目14番11号,tsusho,086-214-2828,R3.5.1,20
ばんばんPlug.,700-0975,岡山県岡山市北区今8丁目14-13ベスグロビル2階B,tsusho,086-236-9337,R3.7.1,10
ネクスト晴る日,700-0064,岡山県岡山市北区大安寺南町一丁目4番13号,tsusho,086-898-2900,R4.2.1,10
発達サポートスペース オットつしま,700-0081,岡山県岡山市北区津島東4-19-27,tsusho,086-259-1620,R4.3.1,10
おひさま岡山ドーム前事業所,700-0975,岡山県岡山市北区今1丁目10-32,tsusho,086-246-0808,R4.3.1,10
みのりの木,700-0951,岡山県岡山市北区田中613-2ラフォーレ弐番館101号室,tsusho,090-9966-4999,R4.5.1,10
きゃんでぃ,700-0952,岡山県岡山市北区平田110-113,tsusho,086-250-6056,R4.6.1,10
こども発達LABO.Proリハ牟佐,701-2141,岡山県岡山市北区牟佐898-1,tsusho,086-238-6212,R4.6.1,10
聖さくら学院 コメットアカデミー,700-0975,岡山県岡山市北区今3丁目16番地19号,tsusho,086-250-5557,R4.9.1,10
nico新屋敷,700-0986,岡山県岡山市北区新屋敷町2丁目8番23号新屋敷町2丁目事務所101号室,tsusho,086-259-2321,R4.9.1,10
YORUTOKO,700-0804,岡山県岡山市北区中井町2丁目4-8,tsusho,086-230-3547,R5.4.1,10
COMPASSアクセス,701-1335,岡山県岡山市北区高松131-15,tsusho,086-905-0228,R5.4.1,10
放課後等デイサービスウィズ・ユー西古松,700-0927,岡山県岡山市北区西古松232-101コゼット西古松1階西テナント,tsusho,086-239-8261,R5.5.1,10
DOSUCOI,700-0046,岡山県岡山市北区岩井二丁目9番地17号,tsusho,080-2925-4198,R5.6.1,10
パステル庭瀬事業所,701-0151,岡山県岡山市北区平野502番地1,tsusho,086-236-6868,R5.11.1,10
ウエルはにーばん,700-0983,岡山県岡山市北区東島田町二丁目7番10号,tsusho,086-230-3100,R5.12.1,10
発達サポートスペース オットいま,700-0975,岡山県岡山市北区今3丁目1-45,tsusho,086-236-6877,R5.12.1,10
多機能型事業所あいりすけ,700-0804,岡山県岡山市北区中井町1丁目1-12,tsusho,086-230-1822,R5.12.1,10
児童発達支援・放課後等デイサービスand,700-0971,岡山県岡山市北区野田1丁目14-30,tsusho,086-236-9025,R5.12.1,10
晴る日 西崎事業所,700-0055,岡山県岡山市北区西崎二丁目1番8号,tsusho,086-363-1333,R6.3.1,10
bon Jr.,700-0977,岡山県岡山市北区問屋町26-104問屋町タニモトビル2階,tsusho,086-250-1215,R6.4.1,10
あそび王国 今事業所,700-0975,岡山県岡山市北区今2丁目18－15,tsusho,086-236-8036,R6.4.1,10
あかね,700-0867,岡山県岡山市北区岡町16－9,tsusho,086-280-5468,R6.4.1,10
児童発達支援事業所POSTN,700-0016,岡山県岡山市北区伊島町1丁目9-42,tsusho,086-230-6342,R6.4.1,10
ダブルレインボー,700-0051,岡山県岡山市北区下伊福上町16-7,tsusho,086-363-1130,R6.8.1,10
にこまる,701-1211,岡山県岡山市北区一宮154-3,tsusho,086-284-8880,R6.11.1,10
運動学習特化型児童発達支援・放課後等デイサービスアルペン清和大元上町教室,700-0925,岡山県岡山市北区大元上町11番17号,tsusho,086-250-3015,R7.1.1,10
YAMARIBA,709-2105,岡山県岡山市北区御津伊田2379,tsusho,080-7697-7112,R7.3.1,10
多機能型事業所土田の里下中野,700-0973,岡山県岡山市北区下中野707-105,tsusho,086-239-1084,R7.4.1,10
児童発達支援ゆめ,701-0143,岡山県岡山市北区白石547-1,tsusho,086-250-8280,R7.4.1,10
マルベリー旭川荘,702-8002,岡山県岡山市中区桑野７１５－２,tsusho,086-274-5155,H24.4.1,10
特定非営利活動法人土田の里,703-8217,岡山県岡山市中区土田９４３番地第２地,tsusho,086-279-5347,H24.4.1,10
インクルすくうる,703-8283,岡山県岡山市中区赤坂南新町７－９,tsusho,086-272-0625,H24.4.1,10
あおぞら,703-8265,岡山県岡山市中区倉田２６４番地１３,tsusho,086-200-1212,H24.4.1,10
おひさま 高島事業所,703-8241,岡山県岡山市中区国府市場1-6,tsusho,086-275-8588,H26.6.1,10
モーネのデイ,703-8266,岡山県岡山市中区湊３７８－１,tsusho,086-274-4789,H27.4.1,10
りゅうそう放課後ラボ,703-8228,岡山県岡山市中区乙多見101-6,tsusho,086-279-0970,H27.6.1,10
ひまわり畑,702-8006,岡山県岡山市中区藤崎４４０番地,tsusho,086-274-1236,H27.8.1,10
土田の里チャイルドストライブ,703-8247,岡山県岡山市中区さい東町一丁目14番28号カネツグマンション1F,tsusho,086-897-2383,H27.9.1,10
いちごプラス,703-8282,岡山県岡山市中区平井四丁目15番12号,tsusho,086-276-8550,H28.4.1,10
リハスタイル ぐんぐん,703-8221,岡山県岡山市中区長岡25-3,tsusho,086-279-3306,H28.4.1,10
ウィルケアみよし,703-8261,岡山県岡山市中区海吉1441-1,tsusho,086-238-6360,H28.9.1,10
こどもサポート教室きらり岡山高島校,703-8243,岡山県岡山市中区清水495-3,tsusho,086-206-6833,H28.11.1,10
晴れバレキッズ高島,703-8241,岡山県岡山市中区高島新屋敷510-4,tsusho,086-206-1221,H29.3.1,10
りずむ畑,703-8265,岡山県岡山市中区倉田451番地3,tsusho,086-201-1369,H30.5.1,10
キッズハウスいちご アトリエ,703-8282,岡山県岡山市中区平井一丁目１－１３,tsusho,086-230-3317,H31.1.1,10
とくのば,703-8235,岡山県岡山市中区原尾島３丁目９－１８原尾島コーポ1階・2階,tsusho,086-737-4093,R1.12.1,10
ウィルケアひらい,703-8266,岡山県岡山市中区湊１２０－４,tsusho,086-238-3820,R2.4.1,10
でいさーびす あいりんご城,703-8271,岡山県岡山市中区円山216番地168,tsusho,086-201-0892,R2.6.1,10
キッズハウスいちご しぜん,703-8282,岡山県岡山市中区平井6丁目17-27,tsusho,086-230-5910,R3.1.1,10
3BASE幡多スタジオ,703-8231,岡山県岡山市中区赤田14番地2,tsusho,086-206-4910,R3.12.1,10
おひさま八幡事業所,703-8241,岡山県岡山市中区高島新屋敷381-4,tsusho,086-206-2766,R4.4.1,10
こどもサポート教室きらり岡山円山校,703-8271,岡山県岡山市中区円山70,tsusho,086-200-2501,R4.10.1,10
BLUE MOUSE,703-8291,岡山県岡山市中区徳吉町二丁目11番地25,tsusho,086-273-3880,R5.1.1,10
キッズハウスいちご こどもべや,703-8282,岡山県岡山市中区平井4丁目6-44,tsusho,086-230-0270,R5.10.1,10
晴る日 円山事業所,703-8271,岡山県岡山市中区円山90番地9,tsusho,086-201-7098,R5.10.1,10
WAKU-WAKU pixie,703-8232,岡山県岡山市中区関461－12,tsusho,086-230-3122,R5.12.1,10
多機能型事業所ひかり 操明,702-8006,岡山県岡山市中区藤崎709-5,tsusho,086-206-2571,R6.5.1,20
こどもみらい光,703-8233,岡山県岡山市中区高屋480－5,tsusho,090-8609-3715,R6.5.1,10
晴れバレキッズ今在家,703-8208,岡山県岡山市中区今在家11-10,tsusho,080-3055-0650,R6.12.1,10
晴る日 海吉事業所,703-8261,岡山県岡山市中区海吉1822番地1,tsusho,086-230-2188,R7.3.1,10
キッズハウスいちごおしごと,703-8282,岡山県岡山市中区平井四丁目13番29号,tsusho,086-238-5188,R7.4.1,10
ウィルケアたかや,703-8233,岡山県岡山市中区高屋183-1,tsusho,086-238-6863,R7.4.1,10
まんまるカチカチ,704-8175,岡山県岡山市東区益野町２１５,tsusho,086-238-2500,H24.4.1,10
よつばのクローバー西大寺,704-8193,岡山県岡山市東区金岡西町387番地3,tsusho,086-206-2931,H28.5.1,10
さわやか愛の家さいだいじ館,704-8117,岡山県岡山市東区西大寺南2丁目10-17,tsusho,086-944-2200,H29.1.1,10
さわやか愛の家さいだいじ弐番館,704-8183,岡山県岡山市東区西大寺松崎447-69,tsusho,086-944-7077,H30.2.1,10
AMKidsあみか,704-8191,岡山県岡山市東区西大寺中野483－4,tsusho,086-897-6270,H30.2.1,10
夢門塾ゆうゆう西大寺,704-8191,岡山県岡山市東区西大寺中野5-1,tsusho,086-238-3392,H30.3.1,10
でいさーびす あいりんご2,704-8194,岡山県岡山市東区金岡東町2丁目15番地28,tsusho,086-230-3610,H30.5.1,10
児童発達支援・放課後等デイサービスファーストペンギン,704-8191,岡山県岡山市東区西大寺中野881番地3,tsusho,086-942-0050,H30.6.1,10
サニーフィールド平島,709-0631,岡山県岡山市東区東平島１３８９－７,tsusho,086-230-0115,H31.3.1,10
放課後等デイサービスファーストペンギンスタジアム,704-8191,岡山県岡山市東区西大寺中野875番地5,tsusho,086-944-6001,R2.3.1,10
サニーロード平島,709-0631,岡山県岡山市東区東平島１３８９－２,tsusho,086-230-3511,R2.3.1,10
こども発達LABO.Proリハ,709-0856,岡山県岡山市東区瀬戸町下585-12,tsusho,086-952-9048,R2.6.1,10
サニーフレンズ平島,709-0631,岡山県岡山市東区東平島1388-1,tsusho,086-230-3512,R2.8.1,10
でいさーびす あいりんご5,709-0632,岡山県岡山市東区南古都400番,tsusho,086-206-1152,R3.3.1,10
3BASE,704-8176,岡山県岡山市東区中川町290-1,tsusho,086-737-4282,R3.4.1,10
WAKU-WAKU,709-0625,岡山県岡山市東区上道北方697番地1,tsusho,086-230-5488,R3.9.1,10
放課後等デイサービスマイカ,709-0631,岡山県岡山市東区東平島1131番地1,tsusho,086-206-3124,R5.4.1,10
サニーキャンバス平島,709-0631,岡山県岡山市東区東平島1373-1,tsusho,086-230-2520,R5.4.1,10
放課後等デイサービスpono,704-8183,岡山県岡山市東区西大寺松崎157番地5,tsusho,086-230-1337,R5.11.1,10
多機能型事業所ひかり西大寺支部,704-8114,岡山県岡山市東区西大寺東3丁目6－12－1,tsusho,086-206-7733,R6.1.1,20
Pana・くおーり,709-0856,岡山県岡山市東区瀬戸町下328番地15C棟,tsusho,086-230-1419,R6.1.1,10
児童発達支援・放課後等デイサービス子どもの未来を育くむねっこ,709-0856,岡山県岡山市東区瀬戸町下554－1,tsusho,086-959-4151,R6.3.1,10
サニーウイング平島,709-0631,岡山県岡山市東区東平島1375-3,tsusho,086-230-2666,R6.3.1,10
なな星,709-0631,岡山県岡山市東区東平島1595-29,tsusho,050-8893-3630,R6.10.1,10
ひまわりケアステーション,701-0221,岡山県岡山市南区藤田５６４番地１４５,tsusho,086-296-0170,H24.4.1,10
晴る日,700-0954,岡山県岡山市南区米倉68番地6,tsusho,086-259-5745,H27.10.1,10
でいさーびす あいりんご,702-8048,岡山県岡山市南区福吉町３番２７,tsusho,086-239-7192,H28.5.1,10
ちゃれんじ,702-8043,岡山県岡山市南区平福1丁目11-1山名ビル2F,tsusho,086-230-6586,H28.12.1,20
こどもサポート教室きらり岡山福富校,702-8031,岡山県岡山市南区福富西3丁目7-40,tsusho,086-363-1636,H29.4.1,10
放課後等デイサービス・児童発達支援あそぼ,701-0205,岡山県岡山市南区妹尾2468番地7,tsusho,086-282-3996,H29.4.1,10
めろでぃ,702-8027,岡山県岡山市南区芳泉2丁目9-2,tsusho,086-242-0130,H29.7.1,10
アニーの家,701-0204,岡山県岡山市南区大福667番地,tsusho,086-250-1669,H30.4.1,20
トータルサポートえん,701-0214,岡山県岡山市南区曽根７３７番地３,tsusho,086-298-3034,H30.12.1,20
ライトキッズ,700-0845,岡山県岡山市南区浜野２丁目８－２４,tsusho,080-5373-9855,H31.3.1,10
ひよっこ,702-8038,岡山県岡山市南区松浜町８番地２５,tsusho,086-250-2558,H31.4.1,10
あそび王国 南輝事業所,702-8023,岡山県岡山市南区南輝三丁目１８番１４号,tsusho,086-236-7604,H31.4.1,10
わおん ふじた教室,701-0221,岡山県岡山市南区藤田２０００番地６－２－B101,tsusho,086-250-7025,R1.6.1,10
デイサポートLau,709-1203,岡山県岡山市南区西紅陽台２丁目５８－４１８,tsusho,086-236-8367,R1.7.1,15
児童発達支援事業所ひかり,702-8051,岡山県岡山市南区築港元町１３－２５MARUGOビル2F,tsusho,086-362-7440,R1.8.1,20
放課後等デイサービス・児童発達支援あそぼII,701-0205,岡山県岡山市南区妹尾２４０７－３５,tsusho,090-8609-3996,R2.1.1,10
多機能型事業所りんどう,702-8023,岡山県岡山市南区南輝１丁目１１番３８号,tsusho,086-230-7851,R2.4.1,10
晴る日 泉田事業所,700-0944,岡山県岡山市南区泉田一丁目8番36号,tsusho,086-227-3510,R2.10.1,10
アクティブスペースみらい万倍店,700-0955,岡山県岡山市南区万倍43-1,tsusho,086-239-6700,R3.3.1,10
星とたんぽぽいっぽずつ,702-8027,岡山県岡山市南区芳泉2丁目15-6,tsusho,086-259-5805,R3.3.1,10
セカンド晴る日,700-0955,岡山県岡山市南区万倍16番地5,tsusho,086-289-6222,R3.3.1,10
アートチャイルドケアSEDスクール岡山豊成,700-0942,岡山県岡山市南区豊成一丁目1番18号,tsusho,086-238-6330,R3.3.1,10
びーふらっと福成店,702-8022,岡山県岡山市南区福成3丁目6-10,tsusho,086-250-2791,R3.6.1,10
晴る日 藤田事業所,701-0221,岡山県岡山市南区藤田724番地16,tsusho,086-250-2089,R3.11.1,10
ミライク岡山南教室,702-8027,岡山県岡山市南区芳泉4丁目19-14,tsusho,086-236-9410,R4.3.1,10
Rapo Lab*,701-0211,岡山県岡山市南区東畦30-13,tsusho,086-250-6319,R4.3.1,10
すくすく塾 新保,700-0945,岡山県岡山市南区新保673番地24,tsusho,086-236-9656,R4.5.1,10
児童発達支援・放課後等デイサービスアイデア泉田事業所,700-0944,岡山県岡山市南区泉田2-6-15福電ビル203,tsusho,086-236-9399,R5.1.1,10
ジョブトレ晴る日,700-0955,岡山県岡山市南区万倍78番地4,tsusho,086-250-9953,R5.4.1,10
就職準備型放課後等デイサービスみらい万倍店,700-0955,岡山県岡山市南区万倍54番地6,tsusho,070-4032-1515,R5.8.1,10
児童発達支援・放課後等デイサービスアイデア豊成事業所,700-0942,岡山県岡山市南区豊成3丁目17-3,tsusho,086-250-3858,R5.8.1,20
晴る日 当新田事業所,700-0956,岡山県岡山市南区当新田455番地25,tsusho,086-239-8930,R7.4.1,10
晴る日 豊成事業所,700-0942,岡山県岡山市南区豊成二丁目5番31号,tsusho,086-239-7160,R7.4.1,10
Smile Kid'sかたしま,710-0805,岡山県倉敷市片島町3番地5,tsusho,086-465-4730,H24.4.1,10
エンゼルくらぶ,711-0906,岡山県倉敷市児島下の町3-8-60,tsusho,086-473-9300,H24.4.1,10
きらり倉敷,710-0836,岡山県倉敷市沖194-1,tsusho,086-435-9820,H24.4.1,10
きらり児島,711-0921,岡山県倉敷市児島駅前4丁目92番,tsusho,086-473-0667,H24.4.1,10
きらり中庄,701-0113,岡山県倉敷市栗坂8,tsusho,086-464-0004,H24.4.1,10
きらり水島,712-8062,岡山県倉敷市水島北幸町2-3,tsusho,086-446-2311,H24.4.1,10
ぽこ・あ・ぽこ,710-0005,岡山県倉敷市西岡1093-2,tsusho,086-486-0069,H24.4.1,10
きらり玉島,713-8103,岡山県倉敷市玉島乙島5796-53,tsusho,086-476-5515,H24.4.1,10
P.P.P.プラットフォーム！児島,710-0142,岡山県倉敷市林1138番地,tsusho,086-485-5775,H24.4.1,10
デイサービスセンターさち,712-8013,岡山県倉敷市亀島1丁目24番17号,tsusho,086-444-1162,H24.4.1,6
ぽこ・あ・ぽこ船穂,710-0262,岡山県倉敷市船穂町水江185,tsusho,086-552-5561,H24.4.1,10
ここキッズ,710-0002,岡山県倉敷市生坂2257-1,tsusho,086-463-5506,H24.4.1,10
めやすばこ・きっず,710-0803,岡山県倉敷市中島638-13,tsusho,086-466-0751,H24.4.1,10
めやすばこ・きっずII,710-0847,岡山県倉敷市東富井739-2,tsusho,086-697-6841,H24.4.1,10
p.p.p.プラットフォーム！玉島,713-8101,岡山県倉敷市玉島上成342-1,tsusho,086-526-2123,H24.4.1,10
ぽこ・あ・ぽこ藤戸,710-0133,岡山県倉敷市藤戸町藤戸3-6,tsusho,086-441-5590,H24.4.1,10
まんようの里キッズ,710-0036,岡山県倉敷市粒浦23-2,tsusho,086-435-2240,H24.4.1,10
デイサービスさいころ,710-0824,岡山県倉敷市老松町4丁目1-12-1,tsusho,086-425-2123,H24.4.1,10
学習支援レインボー大島教室,710-0047,岡山県倉敷市大島558,tsusho,086-441-7741,H24.4.1,10
れっつ中庄,710-0016,岡山県倉敷市中庄吉田南2960-1,tsusho,086-463-5311,H24.4.1,10
P.P.P.ヒマワリ！玉島,713-8123,岡山県倉敷市玉島柏島1531-2,tsusho,086-441-8011,H24.8.1,10
P.P.P.ヒマワリ！福田,712-8041,岡山県倉敷市福田町福田2122-1,tsusho,086-455-3503,H24.11.1,10
ほっとルーム倉敷,710-0847,岡山県倉敷市東富井987-10,tsusho,086-427-7500,H25.7.1,10
おひさまキッズ,712-8061,岡山県倉敷市神田四丁目8番28号,tsusho,086-441-9847,H26.4.1,10
めやすばこきっずぷらす,710-0803,岡山県倉敷市中島638-13,tsusho,086-441-0129,H26.4.1,10
りんごのき,712-8012,岡山県倉敷市連島2-13-17,tsusho,086-444-0345,H26.6.1,10
学習支援レインボー川入教室,710-0811,岡山県倉敷市川入815-5,tsusho,086-486-3341,H26.7.1,10
創心会児童発達支援ルーム心歩笹沖,710-0842,岡山県倉敷市吉岡408-1,tsusho,086-435-5080,H26.10.1,10
ほっとルーム倉敷II,710-0834,岡山県倉敷市笹沖695-1,tsusho,086-427-7540,H27.3.1,10
めやすばこひ・よ・りきっず,710-0022,岡山県倉敷市早高568-3,tsusho,086-441-1207,H27.4.1,10
創心会児童発達支援ルーム心歩茶屋町,710-1101,岡山県倉敷市茶屋町1720-1,tsusho,086-420-0048,H27.6.1,10
てらす西阿知,710-0807,岡山県倉敷市西阿知町930-1,tsusho,086-441-3973,H28.5.1,10
あすなろSmile,713-8125,岡山県倉敷市玉島勇崎1044-5,tsusho,086-441-8900,H28.6.1,10
ほっとルーム倉敷III,710-0038,岡山県倉敷市新田3057-8,tsusho,086-427-7544,H28.7.1,10
学習支援レインボー玉島教室,713-8102,岡山県倉敷市玉島1367,tsusho,086-523-1671,H28.7.1,10
きっずぱれっと西富井,710-0845,岡山県倉敷市西富井636-30,tsusho,086-476-7716,H28.8.1,10
つばめキッズ広江教室,712-8043,岡山県倉敷市広江2丁目5-30,tsusho,086-456-5007,H28.10.1,10
スロースマイル,713-8102,岡山県倉敷市玉島3010-1,tsusho,050-3451-9822,H28.11.1,10
児童発達支援もくもく,710-0837,岡山県倉敷市沖新町63-7,tsusho,086-476-2082,H29.4.1,10
HAPPY SMILE,712-8022,岡山県倉敷市水島北緑町1-16,tsusho,086-441-5077,H29.10.1,10
かがやきっず,711-0907,岡山県倉敷市児島上の町1-1-16-8,tsusho,086-454-8270,H29.10.1,10
きさいや,710-0841,岡山県倉敷市堀南637-1,tsusho,086-442-8153,H29.11.1,10
パントーン・フューチャー・スクール中島校,710-0803,岡山県倉敷市中島2609-1,tsusho,086-476-0618,H30.3.1,10
放課後等デイサービスコンシェルジェ帯江,710-0023,岡山県倉敷市帯高440-6,tsusho,086-436-7239,H30.4.1,10
児童発達支援事業所はな,710-0023,岡山県倉敷市帯高168-2,tsusho,086-451-3112,H30.4.1,10
ホハル,710-1304,岡山県倉敷市真備町尾崎915-22,tsusho,086-441-4019,H30.4.1,10
Withひろば真備,710-1302,岡山県倉敷市真備町服部1895,tsusho,086-441-7801,H30.4.1,10
アダージョ,710-0847,岡山県倉敷市東富井803-9,tsusho,086-423-5040,H30.6.1,10
ますかっと,710-0833,岡山県倉敷市西中新田5番地8,tsusho,086-424-5543,H30.7.1,10
コトノハ,701-0113,岡山県倉敷市栗坂12-2,tsusho,086-463-0300,H29.1.1,10
未来図,710-0833,岡山県倉敷市西中新田596-7,tsusho,086-431-2733,R2.4.1,10
えいる,710-0062,岡山県倉敷市浜町1丁目2-20,tsusho,086-486-3500,R3.6.1,-
児童発達支援事業所てけてけ,708-0004,岡山県津山市山北800,tsusho,0868-32-2174,H24.4.1,20
児童発達支援事業所あゆみ,708-0014,岡山県津山市院庄960-1,tsusho,0868-35-2122,H24.4.1,10
放課後等デイサービス事業所Liebe,708-0007,岡山県津山市総社58-7,tsusho,0868-32-6488,H26.4.1,10
ラルーチェめぐみ,708-0841,岡山県津山市川崎594-5,tsusho,0868-35-3708,H27.3.1,20
おひさま津山事業所,701-0804,岡山県津山市沼450タウニーハイツB棟,tsusho,0868-24-0889,H27.7.1,10
多機能型事業所socio,708-0856,岡山県津山市西吉田400-8,tsusho,0868-26-2477,H28.5.1,10
放課後等デイサービスポロカ,708-0814,岡山県津山市東一宮31-13,tsusho,0868-32-8080,H29.1.1,10
キッズゆうゆう,708-1116,岡山県津山市野村315番地6,tsusho,0868-29-2323,H29.3.1,10
あそび王国津山河辺事業所,708-0842,岡山県津山市河辺1707番地11,tsusho,0868-24-9555,H30.3.1,10
リヤン,708-0015,岡山県津山市神戸480-2,tsusho,0868-32-8577,H30.4.1,10
放課後等デイサービスポロカ上河原事業所,708-0002,岡山県津山市上河原572-3,tsusho,0868-32-8330,H30.4.1,20
みらい,708-0841,岡山県津山市川崎143-1川崎シャングリラ2階西側北,tsusho,0868-32-8008,H30.12.1,10
夢門塾ゆうゆう津山,708-0002,岡山県津山市上河原217番地11,tsusho,0868-32-8470,H31.2.1,10
放課後等デイサービス事業所よつば,708-0814,岡山県津山市東一宮12-2,tsusho,0868-35-0718,H31.2.1,10
よつばのクローバー国分寺,708-0843,岡山県津山市国分寺233-6,tsusho,0868-67-6092,H31.3.1,10
リヤン二宮事業所,708-0013,岡山県津山市二宮1876-13,tsusho,0868-32-8081,R2.4.1,10
step socio,708-0855,岡山県津山市金井11-10,tsusho,0868-26-2477,R3.4.1,10
くれーる,708-0014,岡山県津山市院庄913番地1,tsusho,0868-35-0353,R3.5.1,10
